Id;Name;Longitude;Latitude
4130;MONTLAUX;0;0
5114;REALLON;0;0
4237;LEVERNET;0;0
5107;PUY-SAINT-ANDRE;0;0
84002;ANSOUIS;0;0
5084;MONTGARDIN;0;0
4055;CHAUDON-NORANTE;0;0
5120;RISTOLAS;0;0
4136;LAMURE-ARGENS;0;0
4182;SAINT-JULIEN-D'ASSE;0;0
5088;MONTMORIN;0;0
83111;SAINTE-ANASTASIE-SUR-ISSOLE;0;0
5019;LABEAUME;0;0
13103;SALON-DE-PROVENCE;0;0
5108;PUY-SAINT-EUSEBE;0;0
83140;TOURVES;0;0
5059;LAFREISSINOUSE;0;0
4016;AUTHON;0;0
5067;LESINFOURNAS;0;0
6114;SAINT-ANDRE-DE-LA-ROCHE;0;0
13052;MAILLANE;0;0
13210;MARSEILLE-10E--ARRONDISSEMENT;0;0
5127;ROUSSET;0;0
84126;SEGURET;0;0
84101;LAROQUE-SUR-PERNES;0;0
6162;LABRIGUE;0;0
84050;GORDES;0;0
5131;SAINT-AUBAN-D'OZE;0;0
83128;SILLANS-LA-CASCADE;0;0
4042;CASTELLET-LES-SAUSSES;0;0
4208;SIMIANE-LA-ROTONDE;0;0
84071;MAUBEC;0;0
4023;BAYONS;0;0
13087;ROUSSET;0;0
13073;PEYPIN;0;0
83026;CABASSE;0;0
5167;SIGOTTIER;0;0
84060;LAGARDE-D'APT;0;0
5165;SAVOURNON;0;0
13066;NOVES;0;0
6106;ROQUESTERON;0;0
13004;ARLES;0;0
4217;THOARD;0;0
4140;LESOMERGUES;0;0
6035;CASTELLAR;0;0
13003;ALLEINS;0;0
83123;SANARY-SUR-MER;0;0
6163;TENDE;0;0
84037;CHATEAUNEUF-DU-PAPE;0;0
6078;MALAUSSENE;0;0
83005;ARTIGNOSC-SUR-VERDON;0;0
4077;ENTREVENNES;0;0
5168;SIGOYER;0;0
5143;SAINT-GENIS;0;0
83104;RIANS;0;0
83063;LAGARDE-FREINET;0;0
13089;SAINT-ANDIOL;0;0
5149;SAINT-LEGER-LES-MELEZES;0;0
83127;SIGNES;0;0
13025;CHATEAUNEUF-LE-ROUGE;0;0
13048;JOUQUES;0;0
6116;SAINT-AUBAN;0;0
5158;LESAIX;0;0
84115;SAINT-PIERRE-DE-VASSOLS;0;0
5033;CHANOUSSE;0;0
83030;CAMPS-LA-SOURCE;0;0
5066;LAHAUTE-BEAUME;0;0
5118;RIBIERS;0;0
84075;METHAMIS;0;0
5178;VENTAVON;0;0
84077;MODENE;0;0
6051;LACROIX-SUR-ROUDOULE;0;0
5097;ORPIERRE;0;0
83046;COTIGNAC;0;0
5115;REMOLLON;0;0
83078;MOISSAC-BELLEVUE;0;0
83137;TOULON;0;0
4120;MEYRONNES;0;0
13097;SAINT-MARTIN-DE-CRAU;0;0
84044;ENTRECHAUX;0;0
5169;SORBIERS;0;0
4151;PIERRERUE;0;0
84082;MORMOIRON;0;0
83008;BAGNOLS-EN-FORET;0;0
4198;SAINT-VINCENT-LES-FORTS;0;0
4164;REVEST-SAINT-MARTIN;0;0
4183;SAINT-JULIEN-DU-VERDON;0;0
4090;LEFUGERET;0;0
84078;MONDRAGON;0;0
5111;PUY-SANIERES;0;0
84076;MIRABEAU;0;0
4245;VOLX;0;0
83007;AUPS;0;0
5006;L'ARGENTIERE-LA-BESSEE;0;0
4200;SALIGNAC;0;0
83064;GAREOULT;0;0
13008;AURONS;0;0
13023;CEYRESTE;0;0
84114;SAINT-PANTALEON;0;0
4021;BARRAS;0;0
84045;FAUCON;0;0
5141;SAINT-EUSEBE-EN-CHAMPSAUR;0;0
83098;LEPRADET;0;0
83102;REGUSSE;0;0
13036;EYRAGUES;0;0
13040;FUVEAU;0;0
84040;CRESTET;0;0
83043;COLLOBRIERES;0;0
13215;MARSEILLE-15E--ARRONDISSEMENT;0;0
5016;LABATIE-MONTSALEON;0;0
5121;ROCHEBRUNE;0;0
4081;ESPARRON-DE-VERDON;0;0
6018;BIOT;0;0
83081;MONTAUROUX;0;0
84133;LATOUR-D'AIGUES;0;0
83145;VARAGES;0;0
4145;PEIPIN;0;0
6087;LESMUJOULS;0;0
83068;GRIMAUD;0;0
6085;MOUGINS;0;0
83079;LAMOLE;0;0
83118;SAINT-RAPHAEL;0;0
83070;LELAVANDOU;0;0
5028;CHABESTAN;0;0
6144;LATOUR;0;0
4116;LESMEES;0;0
6129;SAINT-SAUVEUR-SUR-TINEE;0;0
83075;LESMAYONS;0;0
13054;MARIGNANE;0;0
4152;PIERREVERT;0;0
84097;RICHERENCHES;0;0
5051;ETOILE-SAINT-CYRICE;0;0
5002;AGNIERES-EN-DEVOLUY;0;0
83080;MONS;0;0
5181;VILLAR-D'ARENE;0;0
4127;MONTFORT;0;0
4186;SAINT-LAURENT-DU-VERDON;0;0
6052;CUEBRIS;0;0
84049;GIGONDAS;0;0
13115;VERNEGUES;0;0
4134;LAMOTTE-DU-CAIRE;0;0
5096;ORCIERES;0;0
83009;BANDOL;0;0
4118;MELVE;0;0
83112;SAINT-CYR-SUR-MER;0;0
13005;AUBAGNE;0;0
6056;ENTRAUNES;0;0
6014;BENDEJUN;0;0
84096;RASTEAU;0;0
83035;LECASTELLET;0;0
13050;LAMBESC;0;0
6096;PIERLAS;0;0
84150;VISAN;0;0
84130;SUZETTE;0;0
83004;LESARCS;0;0
13111;VAUVENARGUES;0;0
83014;BAUDINARD-SUR-VERDON;0;0
6083;MENTON;0;0
13011;LESBAUX-DE-PROVENCE;0;0
4172;ROUMOULES;0;0
13046;GREASQUE;0;0
4075;ENTREPIERRES;0;0
6010;LEBAR-SUR-LOUP;0;0
4079;L'ESCALE;0;0
5069;LAGRAND;0;0
83152;RAYOL-CANADEL-SUR-MER;0;0
84149;VIOLES;0;0
83010;BARGEME;0;0
4053;CHATEAUNEUF-VAL-SAINT-DONAT;0;0
4031;BRAS-D'ASSE;0;0
4124;MONTAGNAC-MONTPEZAT;0;0
83049;CUERS;0;0
6012;BEAUSOLEIL;0;0
13029;CORNILLON-CONFOUX;0;0
83150;VINON-SUR-VERDON;0;0
83146;LAVERDIERE;0;0
4219;THORAME-HAUTE;0;0
83002;AIGUINES;0;0
5050;ESPINASSES;0;0
84046;FLASSAN;0;0
4128;MONTFURON;0;0
4059;CLUMANC;0;0
13037;LAFARE-LES-OLIVIERS;0;0
4204;SENEZ;0;0
13216;MARSEILLE-16E--ARRONDISSEMENT;0;0
4061;COLMARS;0;0
4070;DIGNE-LES-BAINS;0;0
5159;SALEON;0;0
6038;CHATEAUNEUF-GRASSE;0;0
84032;CASENEUVE;0;0
4244;VOLONNE;0;0
4110;MALLEMOISSON;0;0
4101;LARDIERS;0;0
13082;ROGNES;0;0
13209;MARSEILLE--9E--ARRONDISSEMENT;0;0
4028;BEYNES;0;0
4109;MALLEFOUGASSE-AUGES;0;0
83073;LELUC;0;0
4046;LECHAFFAUT-SAINT-JURSON;0;0
83067;GONFARON;0;0
6050;COURSEGOULES;0;0
4143;ORAISON;0;0
5072;LAYE;0;0
83125;SEILLONS-SOURCE-D'ARGENS;0;0
13009;LABARBEN;0;0
4041;LECASTELLET;0;0
6032;CAP-D'AIL;0;0
