CodeInsee,Name,Longitude,Latitude,Id
84036,CHATEAUNEUF-DE-GADAGNE,43.92763317,4.942591145,120
84086,OPPEDE,43.83131753,5.169821504,121
4180,SAINT-JACQUES,43.97691793,6.371285171,122
84099,ROBION,43.85196787,5.110086843,123
13098,SAINT-MITRE-LES-REMPARTS,43.45540299,5.014947255,124
5144,SAINT-JACQUES-EN-VALGODEMARD,44.77406378,6.069646007,125
13033,ENSUES-LA-REDONNE,43.35365396,5.199603076,126
4222,TURRIERS,44.39158821,6.159182215,127
6158,VILLARS-SUR-VAR,43.95186633,7.080245211,128
4176,SAINTE-CROIX-DU-VERDON,43.76428215,6.151588824,129
13112,VELAUX,43.52398546,5.249964249,130
5116,REOTIER,44.68135668,6.56457885,131
83130,SOLLIES-PONT,43.19076112,6.063276972,132
4092,LAGARDE,43.8298617,6.571545242,133
6063,GARS,43.86052267,6.816762945,134
5145,SAINT-JEAN-SAINT-NICOLAS,44.67449542,6.230858475,135
6030,LECANNET,43.57297686,7.006420578,136
13118,COUDOUX,43.56005154,5.254221607,137
6117,SAINT-BLAISE,43.81293379,7.230223363,138
4142,OPPEDETTE,43.93066048,5.592743304,139
5164,SAVINES-LE-LAC,44.5273257,6.393680593,140
4040,LECASTELLARD-MELAN,44.2016432,6.131595213,141
6093,LAPENNE,43.92468617,6.94222405,142
13056,MARTIGUES,43.37989205,5.049454023,143
4017,AUZET,44.30540016,6.311155924,144
83096,POURCIEUX,43.46464406,5.788608904,145
13060,MEYREUIL,43.49105225,5.500628119,146
83069,HYERES,43.10187135,6.188985085,147
84080,MONTEUX,44.0335256,4.984747665,148
83047,LACRAU,43.16352074,6.092683516,149
6084,MOUANS-SARTOUX,43.6185304,6.964944267,150
83025,BRUE-AURIAC,43.52795117,5.936645413,151
13042,GEMENOS,43.29810442,5.64391464,152
83028,CALLAS,43.56552884,6.57328932,153
4004,ALLEMAGNE-EN-PROVENCE,43.78879025,6.03091832,154
13106,SEPTEMES-LES-VALLONS,43.39349446,5.380804056,155
84038,CHEVAL-BLANC,43.78867823,5.124107321,156
83018,BESSE-SUR-ISSOLE,43.33994792,6.177749497,157
5078,MONETIER-ALLEMONT,44.39309625,5.933971903,158
6057,L'ESCARENE,43.83397177,7.365658041,159
6090,PEGOMAS,43.58655532,6.922248379,160
5146,SAINT-JULIEN-EN-BEAUCHENE,44.62645706,5.719799759,161
84065,LAURIS,43.76303655,5.303336932,162
13069,PELISSANNE,43.63083856,5.159573273,163
5024,BRUIS,44.46773667,5.503888637,164
13091,SAINT-CANNAT,43.61362867,5.306982573,165
84112,SAINT-MARTIN-DE-CASTILLON,43.85510722,5.519193124,166
4190,SAINT-MARTIN-LES-EAUX,43.87197029,5.74137178,167
84001,ALTHEN-DES-PALUDS,44.00480871,4.957938042,168
5095,LENOYER,44.69999939,6.001026942,169
6019,BLAUSASC,43.79346809,7.360334776,170
83085,LAMOTTE,43.50785112,6.550553999,171
84146,VILLEDIEU,44.28853456,5.047844415,172
5100,PELLEAUTIER,44.5102663,5.998777399,173
4154,PONTIS,44.4956919,6.365237766,174
13061,SAINT-PIERRE-DE-MEZOARGUES,43.86123508,4.657395241,175
84009,LABASTIDE-DES-JOURDANS,43.79453976,5.646777821,176
84090,PEYPIN-D'AIGUES,43.79644083,5.560033269,177
13051,LANCON-PROVENCE,43.57604062,5.159536015,178
13002,ALLAUCH,43.35331457,5.511347672,179
4099,LAMBRUISSE,44.04483449,6.445388467,180
84033,CASTELLET,43.83445227,5.481166572,181
6047,CONSEGUDES,43.84069572,7.045036709,182
4068,DAUPHIN,43.89324344,5.776452248,183
5054,LAFARE-EN-CHAMPSAUR,44.66537663,6.058260389,184
4130,MONTLAUX,44.04079238,5.85016627,185
5114,REALLON,44.6107754,6.360460394,186
4237,LEVERNET,44.27660683,6.402975255,187
5107,PUY-SAINT-ANDRE,44.89090366,6.56677781,188
84002,ANSOUIS,43.73651729,5.471366895,189
5084,MONTGARDIN,44.54358478,6.233056657,190
4055,CHAUDON-NORANTE,43.99191495,6.317368071,191
5120,RISTOLAS,44.73584931,6.99202108,192
4136,LAMURE-ARGENS,44.01661078,6.531967018,193
4182,SAINT-JULIEN-D'ASSE,43.92661539,6.07806455,194
5088,MONTMORIN,44.45010678,5.55351372,195
83111,SAINTE-ANASTASIE-SUR-ISSOLE,43.33341038,6.124961185,196
5019,LABEAUME,44.54829147,5.653752143,197
13103,SALON-DE-PROVENCE,43.64628852,5.068146496,198
5108,PUY-SAINT-EUSEBE,44.56858895,6.411298295,199
83140,TOURVES,43.40880156,5.927157071,200
5059,LAFREISSINOUSE,44.53553417,6.008128046,201
4016,AUTHON,44.24925455,6.15102271,202
5067,LESINFOURNAS,44.71494528,6.113088614,203
6114,SAINT-ANDRE-DE-LA-ROCHE,43.74587624,7.288713726,204
13052,MAILLANE,43.82306098,4.784565707,205
13210,MARSEILLE-10E--ARRONDISSEMENT,43.27551554,5.426811011,206
5127,ROUSSET,44.48437855,6.266691309,207
84126,SEGURET,44.21596402,5.028817201,208
84101,LAROQUE-SUR-PERNES,43.97419471,5.101755188,209
6162,LABRIGUE,44.07145556,7.651478289,210
84050,GORDES,43.90901924,5.198019786,211
5131,SAINT-AUBAN-D'OZE,44.48831569,5.84847801,212
83128,SILLANS-LA-CASCADE,43.56588241,6.165152406,213
4042,CASTELLET-LES-SAUSSES,44.04030386,6.734509005,214
4208,SIMIANE-LA-ROTONDE,43.98381282,5.562489946,215
84071,MAUBEC,43.84178006,5.137679034,216
4023,BAYONS,44.32492773,6.172825378,217
13087,ROUSSET,43.48414962,5.623807994,218
13073,PEYPIN,43.38478775,5.571319183,219
83026,CABASSE,43.42709727,6.232023495,220
5167,SIGOTTIER,44.4580496,5.685311139,221
84060,LAGARDE-D'APT,43.98387298,5.481644171,222
5165,SAVOURNON,44.4240776,5.799277415,223
13066,NOVES,43.85845235,4.899521945,224
6106,ROQUESTERON,43.86779062,7.024136117,225
13004,ARLES,43.54686924,4.662156426,226
4217,THOARD,44.1473006,6.124012983,227
4140,LESOMERGUES,44.15274548,5.589370589,228
6035,CASTELLAR,43.82205666,7.498915711,229
13003,ALLEINS,43.70741977,5.151050292,230
83123,SANARY-SUR-MER,43.13828285,5.795888142,231
6163,TENDE,44.09976693,7.540531794,232
